Dialogue_History,Strategy_History,Speaker_Turn,Gold_Standard,Next_Strategy
<START>,[-1],None,"Hello, Rick. Welcome.",5
"<START> </s> Hello, Rick. Welcome. </s> Kia ora.","[-1, 5, -1]",None supporter seeker,"Good to see you here. I see on your file that you're, uh, [unintelligible 00:01:18].",5
"<START> </s> Hello, Rick. Welcome. </s> Kia ora. </s> Good to see you here. I see on your file that you're, uh, [unintelligible 00:01:18]. </s> Yup. That's right.","[-1, 5, -1, 5, -1]",None supporter seeker supporter seeker,What part of the [unintelligible 00:01:22] are you from?,2
"Kia ora. </s> Good to see you here. I see on your file that you're, uh, [unintelligible 00:01:18]. </s> Yup. That's right. </s> What part of the [unintelligible 00:01:22] are you from? </s> I'm from down south.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,"Oh, okay.",5
"Yup. That's right. </s> What part of the [unintelligible 00:01:22] are you from? </s> I'm from down south. </s> Oh, okay. </s> Mm-hmm.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,Right down the bottom? Down Bluff?,2
"I'm from down south. </s> Oh, okay. </s> Mm-hmm. </s> Right down the bottom? Down Bluff? </s> Yes sir. I'm from Invercargill just short of Bluff. All my family is still down there.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,"Oh, are they? So you were born down there and-",2
"Mm-hmm. </s> Right down the bottom? Down Bluff? </s> Yes sir. I'm from Invercargill just short of Bluff. All my family is still down there. </s> Oh, are they? So you were born down there and- </s> Mm-hmm.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,-raised down there?,2
"Yes sir. I'm from Invercargill just short of Bluff. All my family is still down there. </s> Oh, are they? So you were born down there and- </s> Mm-hmm. </s> -raised down there? </s> Mm-hmm. Country boy.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,Country boy. Been up in Christchurch how long?,2
Mm-hmm. </s> -raised down there? </s> Mm-hmm. Country boy. </s> Country boy. Been up in Christchurch how long? </s> I've been up here since I was 18.,"[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,"Oh, so you've been here a while?",2
"Mm-hmm. Country boy. </s> Country boy. Been up in Christchurch how long? </s> I've been up here since I was 18. </s> Oh, so you've been here a while? </s> Just a little while. Yeah.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,Oh good. You got family out here?,2
"I've been up here since I was 18. </s> Oh, so you've been here a while? </s> Just a little while. Yeah. </s> Oh good. You got family out here? </s> Uh, just my own.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,"Just your own whānau here. [unintelligible 00:01:51]. Well, Rick, I'm sort of, uh, interested in that, you know, you and I are gonna been doing some work together for a while. I'm sort of wondering what sort of thoughts you'd be having on your way here today.",4
"Just a little while. Yeah. </s> Oh good. You got family out here? </s> Uh, just my own. </s> Just your own whānau here. [unintelligible 00:01:51]. Well, Rick, I'm sort of, uh, interested in that, you know, you and I are gonna been doing some work together for a while. I'm sort of wondering what sort of thoughts you'd be having on your way here today. </s> Um, I was thinking about what you might ask me, what I would say. I'm thinking about my kids, thinking about having to take a day off work.","[-1, 2, -1, 4, -1]",seeker supporter seeker supporter seeker,Right.,5
"Uh, just my own. </s> Just your own whānau here. [unintelligible 00:01:51]. Well, Rick, I'm sort of, uh, interested in that, you know, you and I are gonna been doing some work together for a while. I'm sort of wondering what sort of thoughts you'd be having on your way here today. </s> Um, I was thinking about what you might ask me, what I would say. I'm thinking about my kids, thinking about having to take a day off work. </s> Right. </s> It's a bit of a bitch.","[-1, 4, -1, 5, -1]",seeker supporter seeker supporter seeker,"Okay. I see you've had a bit of experience with, uh, coming to prevention services.",4
"Um, I was thinking about what you might ask me, what I would say. I'm thinking about my kids, thinking about having to take a day off work. </s> Right. </s> It's a bit of a bitch. </s> Okay. I see you've had a bit of experience with, uh, coming to prevention services. </s> Mm-hmm.","[-1, 5, -1, 4, -1]",seeker supporter seeker supporter seeker,What's that been like for you in the past?,3
"It's a bit of a bitch. </s> Okay. I see you've had a bit of experience with, uh, coming to prevention services. </s> Mm-hmm. </s> What's that been like for you in the past? </s> Uh, it's been okay. Um, it hasn't been bad.","[-1, 4, -1, 3, -1]",seeker supporter seeker supporter seeker,Right.,5
